GLOBALEVENTID	EventTimeDate	MentionTimeDate	MentionType	MentionSourceName	MentionIdentifier	SentenceID	Actor1CharOffset	Actor2CharOffset	ActionCharOffset	InRawText	Confidence	MentionDocLen	MentionDocTone	MentionDocTranslationInfo	Extras
1210808762	20241119164500	20241119171500	1	reformer.com	https://www.reformer.com/news/national/cop29-negotiators-strive-for-deal-after-g20-marching-orders/article_0c5f4bd3-f53b-5ade-90b5-661eb0a54edb.html	6	-1	1029	1039	0	10	4215	-1.41843971631205		
1210814248	20241119171500	20241119171500	1	washingtonexaminer.com	https://www.washingtonexaminer.com/news/campaigns/state/3234292/daniel-lurie-taps-openai-sam-altman-transition-team/	6	1442	-1	1467	0	10	1683	-2.10526315789474		
1141279786	20231120011500	20241119171500	1	washingtonexaminer.com	https://www.washingtonexaminer.com/news/campaigns/state/3234292/daniel-lurie-taps-openai-sam-altman-transition-team/	6	1442	-1	1467	0	10	1683	-2.10526315789474		
1210808763	20241119164500	20241119171500	1	reformer.com	https://www.reformer.com/news/national/cop29-negotiators-strive-for-deal-after-g20-marching-orders/article_0c5f4bd3-f53b-5ade-90b5-661eb0a54edb.html	6	-1	1029	1039	0	10	4215	-1.41843971631205		
1210808764	20241119164500	20241119171500	1	reformer.com	https://www.reformer.com/news/national/cop29-negotiators-strive-for-deal-after-g20-marching-orders/article_0c5f4bd3-f53b-5ade-90b5-661eb0a54edb.html	6	1029	-1	1039	0	10	4215	-1.41843971631205		
1210808765	20241119164500	20241119171500	1	reformer.com	https://www.reformer.com/news/national/cop29-negotiators-strive-for-deal-after-g20-marching-orders/article_0c5f4bd3-f53b-5ade-90b5-661eb0a54edb.html	6	1029	1175	1152	1	80	4215	-1.41843971631205		
1210808766	20241119164500	20241119171500	1	reformer.com	https://www.reformer.com/news/national/cop29-negotiators-strive-for-deal-after-g20-marching-orders/article_0c5f4bd3-f53b-5ade-90b5-661eb0a54edb.html	6	1029	1179	1156	0	10	4215	-1.41843971631205		
1210808767	20241119164500	20241119171500	1	reformer.com	https://www.reformer.com/news/national/cop29-negotiators-strive-for-deal-after-g20-marching-orders/article_0c5f4bd3-f53b-5ade-90b5-661eb0a54edb.html	6	1029	-1	1039	0	10	4215	-1.41843971631205		
1210808768	20241119164500	20241119171500	1	reformer.com	https://www.reformer.com/news/national/cop29-negotiators-strive-for-deal-after-g20-marching-orders/article_0c5f4bd3-f53b-5ade-90b5-661eb0a54edb.html	6	1029	1116	1039	1	80	4215	-1.41843971631205		
1210814249	20241119171500	20241119171500	1	liverpoolecho.co.uk	https://www.liverpoolecho.co.uk/news/liverpool-news/easyjet-announces-new-holiday-route-30403949	1	381	448	415	1	100	2079	3.91061452513967		
1141384311	20231120143000	20241119171500	1	liverpoolecho.co.uk	https://www.liverpoolecho.co.uk/news/liverpool-news/easyjet-announces-new-holiday-route-30403949	1	381	448	401	1	100	2079	3.91061452513967		
1141461278	20231120220000	20241119171500	1	burnabynow.com	https://www.burnabynow.com/the-mix/a-bomb-cyclone-sounds-scary-but-meteorologist-says-its-not-alarmist-9829311	7	2142	-1	2149	1	100	2947	-4.87804878048781		
1210807197	20241119163000	20241119171500	1	ladysmithchronicle.com	https://www.ladysmithchronicle.com/news/bomb-cyclone-headed-bcs-way-not-as-alarmist-as-it-sounds-meteorologist-7655195	7	2134	-1	2141	1	100	4262	-5.12820512820513		
1210814250	20241119171500	20241119171500	1	idrw.org	https://idrw.org/pakistan-may-look-to-china-for-hypersonic-missile-tech-to-counter-india-analysts/	4	739	757	751	1	30	2638	1.03896103896104		
1210800873	20241119160000	20241119171500	1	aninews.in	https://aninews.in/news/national/politics/maharashtra-polls-polling-parties-evms-dispatched-across-state-for-tomorrows-voting20241119221144/	14	3472	3453	3441	1	100	3599	-0.5008347245409		
1210746894	20241119110000	20241119171500	1	citybeat.com	https://www.citybeat.com/news/ballot-board-clears-ohio-voters-bill-of-rights-organizers-can-begin-collecting-signatures-18547125	8	1563	-1	1595	1	60	5050	-0.25412960609911		
1210808769	20241119164500	20241119171500	1	reformer.com	https://www.reformer.com/news/national/cop29-negotiators-strive-for-deal-after-g20-marching-orders/article_0c5f4bd3-f53b-5ade-90b5-661eb0a54edb.html	6	1116	1029	1039	1	80	4215	-1.41843971631205		
