GlobalEventsID	Day	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	isRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	Goldstien	NumMentions	NumSources	NumArticles	AvgTone	Actor1GeoType	Actor1Geo_Fullname	Actor1Geo_CountryCode	Actor1GeoADM1Code	Actor1Geo_ADM2Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1GeoFeatureID	Actor2GeoType	Actor2Geo_Fullname	Actor2Geo_CountryCode	Actor2GeoADM1Code	Actor2Geo_ADM2Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2GeoFeatureID	ActionGeoType	ActionGeo_Fullname	ActionGeo_CountryCode	ActionGeoADM1Code	ActionGeo_ADM2Code	ActionGeo_Lat	ActionGeo_Long	ActionGeoFeatureID	DateAdded	SourceURL
1210815319	20241119	202411	2024	2024.8740	JUD	APPEALS COURT						JUD			BUS	COMPANIES						BUS			1	112	112	11	3	-2.0	4	1	4	-7.3170731707317	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20241119171500	https://legalnewsline.com/stories/665890812-1-7b-georgia-verdict-reversed-ford-can-now-present-proper-defense
1210815320	20241119	202411	2024	2024.8740	JUD	COURT JUDGE						JUD			CRM	CROOK						CRM			0	173	173	17	4	-5.0	4	1	4	-2.71149674620391	3	Anne Arundel County, Maryland, United States	US	USMD	MD003	39.0001	-76.6164	1710958	3	Anne Arundel County, Maryland, United States	US	USMD		39.0001	-76.6164	1710958	3	Anne Arundel County, Maryland, United States	US	USMD		39.0001	-76.6164	1710958	20241119171500	https://marylandreporter.com/2024/11/19/state-roundup-biden-includes-new-key-bridge-in-100-billion-ask-for-emergency-funding-senate-pres-ferguson-says-with-large-budget-gap-everything-is-on-the-table/
1210815321	20241119	202411	2024	2024.8740	JUD	JUDGE						JUD			FRA	FRANCE	FRA								1	014	014	01	1	0.0	4	1	4	-4.60624071322437	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20241119171500	https://www.courthousenews.com/what-inspires-supporters-to-flock-to-gisele-pelicots-side-at-mass-rape-trial-society-has-to-evolve/
1210815322	20241119	202411	2024	2024.8740	JUD	ATTORNEY						JUD			FRA	LYON	FRA								1	051	051	05	1	3.4	6	1	3	0.44910179640719	3	Hinsdale, Illinois, United States	US	USIL	IL043	41.8009	-87.937	421852	3	Hinsdale, Illinois, United States	US	USIL	IL043	41.8009	-87.937	421852	3	Hinsdale, Illinois, United States	US	USIL	IL043	41.8009	-87.937	421852	20241119171500	https://patch.com/illinois/lagrange/lths-officials-review-closed-door-recordings
1210815323	20241119	202411	2024	2024.8740	JUD	LAWYER						JUD			FRA	FRANCE	FRA								0	056	056	05	1	7.0	2	1	2	-9.4151212553495	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20241119171500	https://www.cbc.ca/news/world/gisele-pelicot-trial-france-1.7387132
1210815324	20241119	202411	2024	2024.8740	JUD	LAWYER						JUD			FRA	FRANCE	FRA								0	112	112	11	3	-2.0	2	1	2	-9.4151212553495	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20241119171500	https://www.cbc.ca/news/world/gisele-pelicot-trial-france-1.7387132
1210815325	20241119	202411	2024	2024.8740	JUD	LAWYER						JUD			FRAJUD	FRENCH	FRA					JUD			0	1821	182	18	4	-9.0	6	1	6	-9.4151212553495	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20241119171500	https://www.cbc.ca/news/world/gisele-pelicot-trial-france-1.7387132
1210815326	20241119	202411	2024	2024.8740	JUD	JUDGE						JUD			GBR	UNITED KINGDOM	GBR								0	014	014	01	1	0.0	2	1	2	-7.30337078651686	1	France	FR	FR		46	2	FR	5	Oxfordshire, Oxfordshire, United Kingdom	UK	UKK2	40127	51.7823	-1.31405	-2604914	5	Oxfordshire, Oxfordshire, United Kingdom	UK	UKK2	40127	51.7823	-1.31405	-2604914	20241119171500	https://www.graphic.com.gh/news/general-news/migrant-who-raped-and-impregnated-15-year-old-virgin-jailed-ten-years-judge-reveals-victims-incredible-gesture.html
1210815327	20241119	202411	2024	2024.8740	JUD	JUDGE						JUD			GBR	UNITED KINGDOM	GBR								0	020	020	02	1	3.0	2	1	2	-7.30337078651686	1	France	FR	FR		46	2	FR	5	Oxfordshire, Oxfordshire, United Kingdom	UK	UKK2	40127	51.7823	-1.31405	-2604914	5	Oxfordshire, Oxfordshire, United Kingdom	UK	UKK2	40127	51.7823	-1.31405	-2604914	20241119171500	https://www.graphic.com.gh/news/general-news/migrant-who-raped-and-impregnated-15-year-old-virgin-jailed-ten-years-judge-reveals-victims-incredible-gesture.html
1210815328	20241119	202411	2024	2024.8740	JUD	SUPREME COURT						JUD			GOV	GOVERNMENT						GOV			1	010	010	01	1	0.0	10	1	10	-6.875	4	Manipur, Uttar Pradesh, India	IN	IN36	70268	27.0529	79.3583	10452605	4	Manipur, Uttar Pradesh, India	IN	IN36	70268	27.0529	79.3583	10452605	4	Manipur, Uttar Pradesh, India	IN	IN36	70268	27.0529	79.3583	10452605	20241119171500	https://www.devdiscourse.com/article/law-order/3162756-supreme-court-questions-delimitation-delay-in-northeast-india-a-legal-mandate-ignored
