GlobalEventsID	Day	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	isRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	Goldstien	NumMentions	NumSources	NumArticles	AvgTone	Actor1GeoType	Actor1Geo_Fullname	Actor1Geo_CountryCode	Actor1GeoADM1Code	Actor1Geo_ADM2Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1GeoFeatureID	Actor2GeoType	Actor2Geo_Fullname	Actor2Geo_CountryCode	Actor2GeoADM1Code	Actor2Geo_ADM2Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2GeoFeatureID	ActionGeoType	ActionGeo_Fullname	ActionGeo_CountryCode	ActionGeoADM1Code	ActionGeo_ADM2Code	ActionGeo_Lat	ActionGeo_Long	ActionGeoFeatureID	DateAdded	SourceURL
1175970108	20230516	202305	2023	2023.3726	BUS	BUSINESS						BUS			MDA	MOLDOVA	MDA								1	173	173	17	4	-5.0	4	1	4	-1.66204986149584	4	Chisinau, Chisinau, Moldova	MD	MD57	41179	47.0056	28.8575	-2276223	4	Chisinau, Chisinau, Moldova	MD	MD57	41179	47.0056	28.8575	-2276223	4	Chisinau, Chisinau, Moldova	MD	MD57	41179	47.0056	28.8575	-2276223	20240515224500	https://www.marketscreener.com/news/latest/Moldova-s-justice-ministry-seeks-temporary-ban-on-pro-Russian-party-s-activities-46735781/
1175970109	20230516	202305	2023	2023.3726	CHN	CHINA	CHN								COP	POLICE						COP			0	071	071	07	2	7.4	4	1	4	-6.12855007473841	1	China	CH	CH		35	105	CH	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	1	China	CH	CH		35	105	CH	20240515224500	https://www.deccanchronicle.com/nation/invalid-arrest-sc-orders-release-of-newsclick-founder-prabir-purkayastha-894034
1175970110	20230516	202305	2023	2023.3726	CHN	CHINA	CHN								IND	DELHI	IND								0	071	071	07	2	7.4	2	1	2	-6.12855007473841	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20240515224500	https://www.deccanchronicle.com/nation/invalid-arrest-sc-orders-release-of-newsclick-founder-prabir-purkayastha-894034
1175970111	20230516	202305	2023	2023.3726	CHN	CHINA	CHN								IND	DELHI	IND								0	071	071	07	2	7.4	1	1	1	-6.12855007473841	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	1	China	CH	CH		35	105	CH	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20240515224500	https://www.deccanchronicle.com/nation/invalid-arrest-sc-orders-release-of-newsclick-founder-prabir-purkayastha-894034
1175970112	20230516	202305	2023	2023.3726	CHN	CHINA	CHN								IND	DELHI	IND								0	071	071	07	2	7.4	1	1	1	-6.12855007473841	1	China	CH	CH		35	105	CH	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	1	China	CH	CH		35	105	CH	20240515224500	https://www.deccanchronicle.com/nation/invalid-arrest-sc-orders-release-of-newsclick-founder-prabir-purkayastha-894034
1175970113	20230516	202305	2023	2023.3726	CHN	CHINA	CHN								INDCOP	DELHI	IND					COP			0	071	071	07	2	7.4	2	1	2	-6.12855007473841	1	China	CH	CH		35	105	CH	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	1	China	CH	CH		35	105	CH	20240515224500	https://www.deccanchronicle.com/nation/invalid-arrest-sc-orders-release-of-newsclick-founder-prabir-purkayastha-894034
1175970114	20230516	202305	2023	2023.3726	CHN	CHINA	CHN								RUS	RUSSIA	RUS								0	010	010	01	1	0.0	1	1	1	-1.77165354330708	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20240515224500	https://www.scmp.com/news/china/diplomacy/article/3262780/no-limits-why-vladimir-putins-latest-visit-will-test-china-russia-ties
1175970115	20230516	202305	2023	2023.3726	CHN	CHINA	CHN								RUS	RUSSIA	RUS								0	010	010	01	1	0.0	7	1	7	-1.77165354330708	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20240515224500	https://www.scmp.com/news/china/diplomacy/article/3262780/no-limits-why-vladimir-putins-latest-visit-will-test-china-russia-ties
1175970116	20230516	202305	2023	2023.3726	COP	PRISON						COP													1	015	015	01	1	0.0	4	1	4	-12.2302158273382	3	Denver, Colorado, United States	US	USCO	CO031	39.7392	-104.985	201738	0								3	Denver, Colorado, United States	US	USCO	CO031	39.7392	-104.985	201738	20240515224500	https://www.nydailynews.com/2024/05/15/colorado-rock-throwing-teenager-pleads-guilty-prison-sentences/
1175970117	20230516	202305	2023	2023.3726	COP	PRISON						COP													1	015	015	01	1	0.0	6	1	6	-12.2302158273382	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	0								2	Colorado, United States	US	USCO		39.0646	-105.327	CO	20240515224500	https://www.nydailynews.com/2024/05/15/colorado-rock-throwing-teenager-pleads-guilty-prison-sentences/
