1256691509	20250810	202508	2025	2025.6027											AUS	AUSTRALIA	AUS								1	043	043	04	1	2.8	8	2	8	2.14395602333915	0								4	Darling Downs, Queensland, Australia	AS	AS04	154700	-27.5	150.5	-1568996	4	Darling Downs, Queensland, Australia	AS	AS04	154700	-27.5	150.5	-1568996	20250810020000	https://www.northqueenslandregister.com.au/story/9036939/queensland-rural-property-market-all-the-latest-listings/
1256691510	20250810	202508	2025	2025.6027											AUS	AUSTRALIA	AUS								1	060	060	06	2	6.0	2	1	2	0.91623036649214	0								4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20250810020000	https://www.queenslandcountrylife.com.au/story/9037045/richard-ogilvies-future-after-queenslands-top-award/
1256691511	20250810	202508	2025	2025.6027											AUS	AUSTRALIA	AUS								1	060	060	06	2	6.0	4	1	4	0.91623036649214	0								4	Wongwibinda, New South Wales, Australia	AS	AS02	5096	-30.3	152.167	-1610498	4	Wongwibinda, New South Wales, Australia	AS	AS02	5096	-30.3	152.167	-1610498	20250810020000	https://www.queenslandcountrylife.com.au/story/9037045/richard-ogilvies-future-after-queenslands-top-award/
1256691512	20250810	202508	2025	2025.6027											AUS	QUEENSLAND	AUS								1	190	190	19	4	-10.0	10	1	10	-4.98753117206983	0								4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	20250810020000	https://speedcafe.com/supercars-news-super2-crash-ipswich-jarrod-hughes-cleared-of-injury-mason-kelly-penalised/
1256691513	20250810	202508	2025	2025.6027											BUS	BANK						BUS			0	015	015	01	1	0.0	3	1	3	-0.40697674418605	0								3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20250810020000	https://www.staradvertiser.com/2025/08/09/breaking-news/cryptos-richest-man-campaigns-for-a-presidential-pardon/
1256691514	20250810	202508	2025	2025.6027											BUS	COMPANIES						BUS			0	020	020	02	1	3.0	4	1	4	-4.66549295774648	0								4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20250810020000	https://www.koreaherald.com/article/10550664
1256691515	20250810	202508	2025	2025.6027											BUS	COMPANIES						BUS			0	020	020	02	1	3.0	6	1	6	-4.66549295774648	0								4	Yongsan, Cholla-namdo, South Korea	KS	KS16	24974	34.721	127.118	10075841	4	Yongsan, Cholla-namdo, South Korea	KS	KS16	24974	34.721	127.118	10075841	20250810020000	https://www.koreaherald.com/article/10550664
1256691516	20250810	202508	2025	2025.6027											BUS	BUSINESS						BUS			0	061	061	06	2	6.4	1	1	1	-1.8348623853211	0								3	Seattle, Washington, United States	US	USWA	WA033	47.6062	-122.332	1512650	3	Seattle, Washington, United States	US	USWA	WA033	47.6062	-122.332	1512650	20250810020000	https://www.seattletimes.com/business/wa-businesses-take-wait-and-see-approach-to-trumps-tariffs-on-india/
1256691517	20250810	202508	2025	2025.6027											BUS	BUSINESS						BUS			0	061	061	06	2	6.4	1	1	1	-1.8348623853211	0								3	Seattle, Washington, United States	US	USWA	WA033	47.6062	-122.332	1512650	1	India	IN	IN		20	77	IN	20250810020000	https://www.seattletimes.com/business/wa-businesses-take-wait-and-see-approach-to-trumps-tariffs-on-india/
1256691518	20250810	202508	2025	2025.6027											BUS	BUSINESS						BUS			0	061	061	06	2	6.4	3	1	3	-1.8348623853211	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20250810020000	https://www.seattletimes.com/business/wa-businesses-take-wait-and-see-approach-to-trumps-tariffs-on-india/
1256691519	20250810	202508	2025	2025.6027											CHNGOV	CHINA	CHN					GOV			0	046	046	04	1	7.0	4	1	4	-1.51975683890578	0								1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20250810020000	https://www.seattletimes.com/business/intel-ceo-responds-after-trump-calls-for-his-resignation/
1256691520	20250810	202508	2025	2025.6027											CIVELIGOV	ALASSANE OUATTARA	CIV					ELI	GOV		1	062	062	06	2	7.4	6	1	6	-1.84757505773672	0								4	Abidjan, Lagunes, Cote D'ivoire	IV	IV82	16863	5.34111	-4.02806	-2115275	4	Abidjan, Lagunes, Cote D'ivoire	IV	IV82	16863	5.34111	-4.02806	-2115275	20250810020000	https://malaysia.news.yahoo.com/thousands-c-te-divoire-protest-220802011.html
1256691521	20250810	202508	2025	2025.6027											COP	NATIONAL POLICE						COP			1	020	020	02	1	3.0	2	1	2	-10.1052631578948	0								4	Milagros, Matanzas, Cuba	CU	CU03	14751	22.4667	-80.8	-1635313	4	Milagros, Matanzas, Cuba	CU	CU03	14751	22.4667	-80.8	-1635313	20250810020000	https://www.cubaheadlines.com/articles/308680
1256691522	20250810	202508	2025	2025.6027											COP	POLICE						COP			0	173	173	17	4	-5.0	3	1	3	-11.3821138211382	0								3	San Mateo County Jail, California, United States	US	USCA		37.363	-122.249	1786293	3	San Mateo County Jail, California, United States	US	USCA		37.363	-122.249	1786293	20250810020000	https://www.yahoo.com/news/articles/shoplifting-suspect-arrested-biting-officer-223328232.html
1256691523	20250810	202508	2025	2025.6027											CVL	CITIZEN						CVL			0	013	013	01	1	0.4	3	1	3	-1.86915887850467	0								1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20250810020000	https://www.theadvocate.com/baton_rouge/opinion/cantrell-moreno-duplessis-city-council-mayor/article_5bb7d9d2-b51a-58cc-820f-9fd269e67470.html
1256691524	20250810	202508	2025	2025.6027											CVL	COMMUNITY						CVL			0	020	020	02	1	3.0	5	1	5	-4.74777448071217	0								3	Ford County, Illinois, United States	US	USIL		40.5834	-88.2506	424228	3	Ford County, Illinois, United States	US	USIL		40.5834	-88.2506	424228	20250810020000	https://www.wvik.org/illinois/2025-08-09/naked-gunman-sought-after-two-police-officers-are-shot-and-house-catches-fire-in-gibson-city
1256691525	20250810	202508	2025	2025.6027											CVL	POPULATION						CVL			0	036	036	03	1	4.0	4	1	4	-4.1049798115747	0								3	Springfield, Maine, United States	US	USME	ME019	45.3962	-68.1356	576121	3	Springfield, Maine, United States	US	USME	ME019	45.3962	-68.1356	576121	20250810020000	https://concordmonitor.com/neonazi-demonstration-extremism-on-the-rise-new-hampshire-news-concord-monitor-62970374
